P1,P2,Output
"('Type', 'Used')","('Stock', 'T237890')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('VIN', 'A9FGFF8ST43CEFJ3Y')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Year', 2019)",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Make', 'Mazda')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Model', 'CX-9')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Body', 'Sport Utility')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('ModelNumber', 'MACX-VF899A')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Doors', 4)",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('ExteriorColor', 'Snowflake White Pearl Mica')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('InteriorColor', 'Auburn')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('EngineCylinders', 4.0)",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('EngineDisplacement', '2.5 L')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Transmission', 'Automatic')",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Miles', 60081)",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('SellingPrice', 18498)",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('MSRP', 0)",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('BookValue', 18498)",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Invoice', 0)",A9FGFF8ST43CEFJ3Y
"('Type', 'Used')","('Certified', False)",A9FGFF8ST43CEFJ3Y
